	title	link	source	salary
87	Mobile QA Engineer	https://hh.ru/vacancy/50794276?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
88	Senior QA Engineer	https://hh.ru/vacancy/50977386?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
89	QA engineer (mobile)	https://hh.ru/vacancy/50749892?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
90	QA Engineer (web)	https://hh.ru/vacancy/49298423?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
91	QA Engineer	https://hh.ru/vacancy/47670706?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
92	Automation QA Engineer	https://hh.ru/vacancy/47791199?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
93	Senior QA Engineer	https://hh.ru/vacancy/50439489?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
94	Senior/Tech Lead QA Automation Engineer (Python)	https://hh.ru/vacancy/51032963?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
95	"QA manual (преподаватель курсов ""Тестирование программного обеспечения"")"	https://hh.ru/vacancy/50812164?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
96	Middle QA Engineer	https://hh.ru/vacancy/50736615?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
97	Middle Mobile/Web QA Engineer	https://hh.ru/vacancy/50084749?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
98	QA Engineer	https://hh.ru/vacancy/50211464?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
99	QA Automation Engineer	https://hh.ru/vacancy/49496342?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
100	Senior QA Engineer	https://hh.ru/vacancy/51435791?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
101	QA Engineer (Минск) Manual / Junior Automation	https://hh.ru/vacancy/50919294?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
102	Mobile QA Engineer	https://hh.ru/vacancy/50803773?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': 2000, 'max': None, 'currency': 'USD'}
103	QA integration	https://hh.ru/vacancy/50756141?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
